year,category_slug,level2,level3,entries,status,url
2025,creative-business-transformation,Customer Experience Design,B03: Service Design,261,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-business-transformation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Customer+Experience+Design%40%40B03%3A+Service+Design
2025,creative-business-transformation,Customer Experience Design,B04: Brand Purpose & Impact,261,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-business-transformation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Customer+Experience+Design%40%40B04%3A+Brand+Purpose+%26+Impact
2025,creative-business-transformation,Data & Analytics,"D01: Targeting, Insights & Personalisation",261,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-business-transformation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Data+%26+Analytics%40%40D01%3A+Targeting%2C+Insights+%26+Personalisation
2025,creative-business-transformation,Long-Term Brand Platform,F01: Long-Term Brand Platform,261,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-business-transformation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Long-Term+Brand+Platform%40%40F01%3A+Long-Term+Brand+Platform
2025,creative-business-transformation,Transformative Strategy,A01: Transformative Strategy,261,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-business-transformation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Transformative+Strategy%40%40A01%3A+Transformative+Strategy
2025,creative-commerce,Challenges & Breakthroughs,E01: Challenger Brand,639,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-commerce?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Challenges+%26+Breakthroughs%40%40E01%3A+Challenger+Brand
2025,creative-commerce,Challenges & Breakthroughs,E02: Social Behaviour,639,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-commerce?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Challenges+%26+Breakthroughs%40%40E02%3A+Social+Behaviour
2025,creative-commerce,Challenges & Breakthroughs,E03: Breakthrough on a Budget,639,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-commerce?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Challenges+%26+Breakthroughs%40%40E03%3A+Breakthrough+on+a+Budget
2025,creative-commerce,Challenges & Breakthroughs,E04: Corporate Purpose & Social Responsibility,639,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-commerce?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Challenges+%26+Breakthroughs%40%40E04%3A+Corporate+Purpose+%26+Social+Responsibility
2025,creative-commerce,Challenges & Breakthroughs,E05: Use of Humour,639,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-commerce?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Challenges+%26+Breakthroughs%40%40E05%3A+Use+of+Humour
2025,creative-commerce,Challenges & Breakthroughs,E06: Market Disruption,639,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-commerce?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Challenges+%26+Breakthroughs%40%40E06%3A+Market+Disruption
